1.0000,0.9948,0.9792,0.9535,0.9179,0.8726,0.8184,0.7556,0.6849,0.6071,0.5230,0.4335,0.3394,0.2418,0.1417,0.0402,-0.0618,-0.1632,-0.2628,-0.3597,-0.4529,-0.5414,-0.6242,-0.7005,-0.7696,-0.8306,-0.8830,-0.9262,-0.9598,-0.9834,-0.9968,-0.9998,-0.9924,-0.9746,-0.9468,-0.9090,-0.8619,-0.8057,-0.7412,-0.6690,-0.5898,-0.5044,-0.4138,-0.3190,-0.2208,-0.1203,-0.0185,0.0834,0.1845,0.2837
1.1019,1.0967,1.0811,1.0554,1.0197,0.9745,0.9202,0.8574,0.7868,0.7090,0.6249,0.5353,0.4413,0.3437,0.2436,0.1420,0.0400,-0.0613,-0.1610,-0.2579,-0.3510,-0.4395,-0.5223,-0.5987,-0.6677,-0.7288,-0.7812,-0.8244,-0.8580,-0.8815,-0.8949,-0.8979,-0.8905,-0.8728,-0.8449,-0.8072,-0.7600,-0.7038,-0.6393,-0.5671,-0.4879,-0.4026,-0.3120,-0.2171,-0.1189,-0.0184,0.0834,0.1853,0.2864,0.3855
1.2027,1.1975,1.1819,1.1562,1.1205,1.0753,1.0210,0.9582,0.8876,0.8098,0.7257,0.6361,0.5421,0.4445,0.3444,0.2428,0.1409,0.0395,-0.0601,-0.1571,-0.2502,-0.3387,-0.4215,-0.4979,-0.5669,-0.6280,-0.6804,-0.7236,-0.7571,-0.7807,-0.7941,-0.7971,-0.7897,-0.7720,-0.7441,-0.7064,-0.6592,-0.6030,-0.5385,-0.4663,-0.3871,-0.3018,-0.2112,-0.1163,-0.0181,0.0824,0.1842,0.2861,0.3872,0.4863
1.3014,1.2962,1.2806,1.2549,1.2192,1.1740,1.1197,1.0569,0.9863,0.9085,0.8244,0.7348,0.6408,0.5432,0.4431,0.3415,0.2395,0.1382,0.0385,-0.0584,-0.1515,-0.2400,-0.3228,-0.3992,-0.4682,-0.5293,-0.5817,-0.6249,-0.6585,-0.6820,-0.6954,-0.6984,-0.6910,-0.6733,-0.6454,-0.6077,-0.5605,-0.5043,-0.4398,-0.3676,-0.2884,-0.2031,-0.1125,-0.0176,0.0806,0.1811,0.2829,0.3848,0.4859,0.5850
1.3969,1.3917,1.3762,1.3504,1.3148,1.2696,1.2153,1.1525,1.0818,1.0040,0.9199,0.8304,0.7364,0.6388,0.5387,0.4371,0.3351,0.2338,0.1341,0.0372,-0.0560,-0.1444,-0.2273,-0.3036,-0.3727,-0.4337,-0.4861,-0.5293,-0.5629,-0.5865,-0.5998,-0.6028,-0.5954,-0.5777,-0.5498,-0.5121,-0.4649,-0.4088,-0.3443,-0.2720,-0.1928,-0.1075,-0.0169,0.0780,0.1762,0.2767,0.3784,0.4804,0.5814,0.6806
1.4884,1.4832,1.4676,1.4419,1.4062,1.3610,1.3067,1.2439,1.1733,1.0955,1.0114,0.9218,0.8278,0.7302,0.6301,0.5285,0.4265,0.3252,0.2255,0.1286,0.0355,-0.0530,-0.1358,-0.2122,-0.2812,-0.3423,-0.3947,-0.4379,-0.4715,-0.4951,-0.5084,-0.5114,-0.5040,-0.4863,-0.4584,-0.4207,-0.3735,-0.3174,-0.2528,-0.1806,-0.1014,-0.0161,0.0745,0.1694,0.2676,0.3681,0.4698,0.5718,0.6729,0.7720
1.5747,1.5695,1.5540,1.5282,1.4926,1.4474,1.3931,1.3303,1.2596,1.1818,1.0977,1.0082,0.9141,0.8165,0.7165,0.6149,0.5129,0.4115,0.3119,0.2150,0.1218,0.0333,-0.0495,-0.1258,-0.1949,-0.2559,-0.3083,-0.3515,-0.3851,-0.4087,-0.4221,-0.4251,-0.4177,-0.3999,-0.3720,-0.3343,-0.2872,-0.2310,-0.1665,-0.0942,-0.0150,0.0703,0.1609,0.2557,0.3539,0.4544,0.5562,0.6581,0.7592,0.8584
1.6551,1.6499,1.6343,1.6086,1.5729,1.5277,1.4734,1.4106,1.3400,1.2622,1.1781,1.0886,0.9945,0.8969,0.7968,0.6953,0.5933,0.4919,0.3923,0.2953,0.2022,0.1137,0.0309,-0.0455,-0.1145,-0.1755,-0.2279,-0.2712,-0.3047,-0.3283,-0.3417,-0.3447,-0.3373,-0.3195,-0.2917,-0.2540,-0.2068,-0.1506,-0.0861,-0.0139,0.0653,0.1507,0.2412,0.3361,0.4343,0.5348,0.6366,0.7385,0.8396,0.9387
1.7286,1.7234,1.7079,1.6821,1.6465,1.6013,1.5470,1.4842,1.4135,1.3358,1.2517,1.1621,1.0681,0.9705,0.8704,0.7688,0.6668,0.5655,0.4658,0.3689,0.2757,0.1873,0.1044,0.0281,-0.0409,-0.1020,-0.1544,-0.1976,-0.2312,-0.2548,-0.2681,-0.2711,-0.2637,-0.2460,-0.2181,-0.1804,-0.1332,-0.0771,-0.0126,0.0597,0.1389,0.2242,0.3148,0.4097,0.5079,0.6084,0.7101,0.8121,0.9131,1.0123
1.7946,1.7894,1.7739,1.7481,1.7125,1.6673,1.6130,1.5502,1.4795,1.4017,1.3176,1.2281,1.1340,1.0365,0.9364,0.8348,0.7328,0.6314,0.5318,0.4349,0.3417,0.2532,0.1704,0.0941,0.0250,-0.0360,-0.0884,-0.1316,-0.1652,-0.1888,-0.2022,-0.2052,-0.1977,-0.1800,-0.1521,-0.1144,-0.0672,-0.0111,0.0534,0.1257,0.2049,0.2902,0.3808,0.4756,0.5739,0.6744,0.7761,0.8780,0.9791,1.0783
1.8523,1.8471,1.8316,1.8058,1.7702,1.7250,1.6707,1.6079,1.5372,1.4594,1.3753,1.2858,1.1917,1.0942,0.9941,0.8925,0.7905,0.6892,0.5895,0.4926,0.3994,0.3110,0.2281,0.1518,0.0827,0.0217,-0.0307,-0.0739,-0.1075,-0.1311,-0.1445,-0.1474,-0.1400,-0.1223,-0.0944,-0.0567,-0.0095,0.0466,0.1111,0.1834,0.2626,0.3479,0.4385,0.5334,0.6316,0.7321,0.8338,0.9358,1.0368,1.1360
1.9012,1.8960,1.8804,1.8547,1.8190,1.7738,1.7195,1.6567,1.5861,1.5083,1.4242,1.3346,1.2406,1.1430,1.0429,0.9413,0.8393,0.7380,0.6383,0.5414,0.4483,0.3598,0.2770,0.2006,0.1316,0.0705,0.0181,-0.0251,-0.0587,-0.0822,-0.0956,-0.0986,-0.0912,-0.0735,-0.0456,-0.0079,0.0393,0.0955,0.1600,0.2322,0.3114,0.3967,0.4873,0.5822,0.6804,0.7809,0.8827,0.9846,1.0857,1.1848
1.9406,1.9354,1.9199,1.8941,1.8585,1.8133,1.7590,1.6962,1.6255,1.5478,1.4637,1.3741,1.2801,1.1825,1.0824,0.9808,0.8788,0.7775,0.6778,0.5809,0.4877,0.3993,0.3164,0.2401,0.1711,0.1100,0.0576,0.0144,-0.0192,-0.0428,-0.0561,-0.0591,-0.0517,-0.0340,-0.0061,0.0316,0.0788,0.1349,0.1994,0.2717,0.3509,0.4362,0.5268,0.6217,0.7199,0.8204,0.9221,1.0241,1.1251,1.2243
1.9703,1.9651,1.9496,1.9238,1.8882,1.8430,1.7887,1.7259,1.6552,1.5774,1.4933,1.4038,1.3097,1.2122,1.1121,1.0105,0.9085,0.8072,0.7075,0.6106,0.5174,0.4289,0.3461,0.2698,0.2007,0.1397,0.0873,0.0441,0.0105,-0.0131,-0.0265,-0.0294,-0.0220,-0.0043,0.0236,0.0613,0.1085,0.1646,0.2291,0.3014,0.3806,0.4659,0.5565,0.6514,0.7496,0.8501,0.9518,1.0537,1.1548,1.2540
1.9899,1.9847,1.9692,1.9434,1.9078,1.8625,1.8083,1.7455,1.6748,1.5970,1.5129,1.4234,1.3293,1.2317,1.1316,1.0301,0.9281,0.8267,0.7271,0.6302,0.5370,0.4485,0.3657,0.2894,0.2203,0.1593,0.1069,0.0637,0.0301,0.0065,-0.0069,-0.0099,-0.0025,0.0153,0.0431,0.0809,0.1280,0.1842,0.2487,0.3210,0.4001,0.4855,0.5761,0.6709,0.7691,0.8696,0.9714,1.0733,1.1744,1.2736
1.9992,1.9940,1.9784,1.9527,1.9170,1.8718,1.8176,1.7548,1.6841,1.6063,1.5222,1.4327,1.3386,1.2410,1.1409,1.0394,0.9374,0.8360,0.7364,0.6395,0.5463,0.4578,0.3750,0.2987,0.2296,0.1686,0.1162,0.0730,0.0394,0.0158,0.0024,-0.0006,0.0068,0.0246,0.0524,0.0902,0.1373,0.1935,0.2580,0.3302,0.4094,0.4948,0.5853,0.6802,0.7784,0.8789,0.9807,1.0826,1.1837,1.2829
1.9981,1.9929,1.9773,1.9516,1.9159,1.8707,1.8164,1.7536,1.6830,1.6052,1.5211,1.4316,1.3375,1.2399,1.1398,1.0383,0.9363,0.8349,0.7353,0.6384,0.5452,0.4567,0.3739,0.2976,0.2285,0.1675,0.1151,0.0718,0.0383,0.0147,0.0013,-0.0017,0.0057,0.0235,0.0513,0.0891,0.1362,0.1924,0.2569,0.3291,0.4083,0.4937,0.5842,0.6791,0.7773,0.8778,0.9796,1.0815,1.1826,1.2817
1.9866,1.9814,1.9658,1.9401,1.9045,1.8592,1.8050,1.7422,1.6715,1.5937,1.5096,1.4201,1.3260,1.2284,1.1283,1.0268,0.9248,0.8234,0.7238,0.6269,0.5337,0.4452,0.3624,0.2861,0.2170,0.1560,0.1036,0.0604,0.0268,0.0032,-0.0102,-0.0132,-0.0058,0.0120,0.0398,0.0776,0.1247,0.1809,0.2454,0.3176,0.3968,0.4822,0.5728,0.6676,0.7658,0.8663,0.9681,1.0700,1.1711,1.2703
1.9648,1.9596,1.9441,1.9184,1.8827,1.8375,1.7832,1.7204,1.6497,1.5720,1.4879,1.3983,1.3043,1.2067,1.1066,1.0050,0.9030,0.8017,0.7020,0.6051,0.5119,0.4235,0.3407,0.2643,0.1953,0.1342,0.0818,0.0386,0.0050,-0.0186,-0.0319,-0.0349,-0.0275,-0.0098,0.0181,0.0558,0.1030,0.1591,0.2237,0.2959,0.3751,0.4604,0.5510,0.6459,0.7441,0.8446,0.9463,1.0483,1.1494,1.2485
1.9331,1.9279,1.9123,1.8866,1.8509,1.8057,1.7514,1.6886,1.6180,1.5402,1.4561,1.3665,1.2725,1.1749,1.0748,0.9732,0.8712,0.7699,0.6702,0.5733,0.4802,0.3917,0.3089,0.2325,0.1635,0.1024,0.0500,0.0068,-0.0268,-0.0504,-0.0637,-0.0667,-0.0593,-0.0416,-0.0137,0.0240,0.0712,0.1273,0.1919,0.2641,0.3433,0.4286,0.5192,0.6141,0.7123,0.8128,0.9145,1.0165,1.1176,1.2167
1.8916,1.8864,1.8708,1.8451,1.8094,1.7642,1.7099,1.6471,1.5765,1.4987,1.4146,1.3250,1.2310,1.1334,1.0333,0.9317,0.8297,0.7284,0.6287,0.5318,0.4387,0.3502,0.2674,0.1910,0.1220,0.0609,0.0085,-0.0347,-0.0683,-0.0919,-0.1052,-0.1082,-0.1008,-0.0831,-0.0552,-0.0175,0.0297,0.0858,0.1504,0.2226,0.3018,0.3871,0.4777,0.5726,0.6708,0.7713,0.8730,0.9750,1.0761,1.1752
1.8408,1.8356,1.8200,1.7943,1.7586,1.7134,1.6591,1.5963,1.5257,1.4479,1.3638,1.2743,1.1802,1.0826,0.9825,0.8810,0.7790,0.6776,0.5780,0.4811,0.3879,0.2994,0.2166,0.1403,0.0712,0.0102,-0.0422,-0.0855,-0.1190,-0.1426,-0.1560,-0.1590,-0.1516,-0.1338,-0.1060,-0.0682,-0.0211,0.0351,0.0996,0.1718,0.2510,0.3364,0.4269,0.5218,0.6200,0.7205,0.8223,0.9242,1.0253,1.1244
1.7813,1.7761,1.7605,1.7348,1.6991,1.6539,1.5996,1.5368,1.4662,1.3884,1.3043,1.2147,1.1207,1.0231,0.9230,0.8214,0.7195,0.6181,0.5185,0.4215,0.3284,0.2399,0.1571,0.0807,0.0117,-0.0494,-0.1018,-0.1450,-0.1785,-0.2021,-0.2155,-0.2185,-0.2111,-0.1934,-0.1655,-0.1278,-0.0806,-0.0244,0.0401,0.1123,0.1915,0.2768,0.3674,0.4623,0.5605,0.6610,0.7628,0.8647,0.9658,1.0649
1.7136,1.7084,1.6929,1.6671,1.6315,1.5863,1.5320,1.4692,1.3985,1.3207,1.2366,1.1471,1.0530,0.9555,0.8554,0.7538,0.6518,0.5505,0.4508,0.3539,0.2607,0.1723,0.0894,0.0131,-0.0560,-0.1170,-0.1694,-0.2126,-0.2462,-0.2698,-0.2832,-0.2861,-0.2787,-0.2610,-0.2331,-0.1954,-0.1482,-0.0921,-0.0276,0.0447,0.1239,0.2092,0.2998,0.3947,0.4929,0.5934,0.6951,0.7971,0.8981,0.9973
1.6386,1.6333,1.6178,1.5921,1.5564,1.5112,1.4569,1.3941,1.3235,1.2457,1.1616,1.0720,0.9780,0.8804,0.7803,0.6787,0.5767,0.4754,0.3757,0.2788,0.1856,0.0972,0.0144,-0.0620,-0.1310,-0.1921,-0.2445,-0.2877,-0.3213,-0.3449,-0.3582,-0.3612,-0.3538,-0.3361,-0.3082,-0.2705,-0.2233,-0.1672,-0.1026,-0.0304,0.0488,0.1341,0.2247,0.3196,0.4178,0.5183,0.6200,0.7220,0.8231,0.9222
